id,store,storeZip,storeName,storeAddress,name,brand,size,category,price,lastChecked,notes
walmart-79015-0001,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Milk,Great Value,1 gal whole milk,Dairy,3.52,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0002,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Milk,Great Value,1 gal 2% milk,Dairy,3.52,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0003,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Milk,Great Value,1 gal 1% milk,Dairy,3.52,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0004,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Chocolate Milk,Great Value,1/2 gal,Dairy,2.64,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0005,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Half & Half,Great Value,32 fl oz,Dairy,3.18,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0006,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Heavy Whipping Cream,Great Value,16 fl oz,Dairy,3.24,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0007,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Eggs,Great Value,12 ct large,Dairy,3.88,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0008,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Eggs,Great Value,18 ct large,Dairy,5.42,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0009,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Butter,Great Value,1 lb sticks,Dairy,3.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0010,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Margarine Spread,Great Value,45 oz tub,Dairy,3.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0011,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Shredded Cheddar Cheese,Great Value,8 oz,Dairy,2.22,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0012,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Shredded Mozzarella Cheese,Great Value,8 oz,Dairy,2.22,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0013,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Sliced American Cheese,Great Value,16 ct,Dairy,2.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0014,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Cream Cheese,Great Value,8 oz,Dairy,1.96,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0015,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Sour Cream,Great Value,16 oz,Dairy,1.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0016,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Greek Yogurt,Great Value,32 oz plain,Dairy,3.64,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0017,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Yogurt Cups,Great Value,8 ct,Dairy,3.96,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0018,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Cottage Cheese,Great Value,24 oz,Dairy,3.44,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0019,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",String Cheese,Great Value,12 ct,Dairy,3.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0020,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Coffee Creamer,Great Value,32 fl oz vanilla,Dairy,3.28,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0021,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Boneless Skinless Chicken Breast,Freshness Guaranteed,per lb,Meat,2.97,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0022,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Chicken Tenderloins,Freshness Guaranteed,per lb,Meat,3.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0023,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Chicken Drumsticks,Freshness Guaranteed,per lb,Meat,1.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0024,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Chicken Thighs,Freshness Guaranteed,per lb,Meat,1.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0025,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Ground Beef 80/20,Marketside,per lb,Meat,4.47,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0026,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Ground Beef 93/7,Marketside,per lb,Meat,5.97,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0027,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Chuck Roast,Marketside,per lb,Meat,6.47,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0028,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Beef Stew Meat,Marketside,per lb,Meat,6.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0029,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Pork Chops,Freshness Guaranteed,per lb,Meat,3.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0030,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Pork Loin,Freshness Guaranteed,per lb,Meat,2.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0031,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Bacon,Great Value,12 oz,Meat,4.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0032,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Breakfast Sausage,Great Value,1 lb roll,Meat,3.48,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0033,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Hot Dogs,Bar-S,12 oz,Meat,1.38,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0034,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Deli Turkey,Great Value,9 oz,Meat,4.12,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0035,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Deli Ham,Great Value,9 oz,Meat,3.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0036,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Frozen Salmon Fillets,Great Value,2 lb bag,Meat,13.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0037,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Tilapia Fillets,Great Value,2 lb bag,Meat,8.96,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0038,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Cooked Shrimp,Great Value,12 oz,Meat,6.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0039,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Rotisserie Chicken,Freshness Guaranteed,each,Meat,6.97,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0040,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Meatballs,Great Value,32 oz frozen,Meat,7.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0041,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Bananas,Fresh Produce,per lb,Produce,0.58,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0042,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Apples Gala,Fresh Produce,3 lb bag,Produce,4.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
walmart-79015-0043,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Apples Honeycrisp,Fresh Produce,3 lb bag,Produce,6.98,2026-06-12,Expanded starter estimate for 79015; verify in Walmart app or receipt before relying on it. Not live pricing.
