id,store,storeZip,storeName,storeAddress,name,brand,size,category,price,lastChecked,notes
walmart-79015-001,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Milk,Great Value,1 gal whole milk,Dairy,3.52,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-001,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Milk,Lucerne / store brand,1 gal whole milk,Dairy,4.29,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-002,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Eggs,Great Value,12 ct large,Dairy,3.88,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-002,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Eggs,Lucerne / store brand,12 ct large,Dairy,4.49,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-003,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Butter,Great Value,1 lb sticks,Dairy,3.98,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-003,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Butter,Lucerne / store brand,1 lb sticks,Dairy,4.99,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-004,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Shredded Cheddar Cheese,Great Value,8 oz,Dairy,2.22,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-004,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Shredded Cheddar Cheese,Lucerne / store brand,8 oz,Dairy,2.99,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-005,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Greek Yogurt,Great Value,32 oz plain,Dairy,3.64,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-005,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Greek Yogurt,Lucerne / store brand,32 oz plain,Dairy,4.49,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-006,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Boneless Skinless Chicken Breast,Freshness Guaranteed,per lb,Meat,2.97,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-006,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Boneless Skinless Chicken Breast,United meat counter,per lb,Meat,3.99,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-007,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Ground Beef 80/20,Fresh beef,per lb,Meat,4.97,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-007,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Ground Beef 80/20,United meat counter,per lb,Meat,5.99,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-008,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Bacon,Great Value,12 oz,Meat,4.48,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-008,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Bacon,Signature Select,12 oz,Meat,5.99,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-009,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Deli Turkey,Oscar Mayer / store brand,9 oz,Meat,4.98,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-009,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Deli Turkey,Signature Cafe / store brand,9 oz,Meat,5.99,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
walmart-79015-010,Walmart,79015,Walmart Supercenter #793,"1701 N 23rd St, Canyon, TX 79015",Bananas,Fresh produce,per lb,Produce,0.58,2026-06-12,Starter estimate for 79015; verify against Walmart pickup price before relying on it.
united-79015-010,United Supermarkets,79015,United Supermarkets N 23rd & Russell Long,"201 N 23rd St, Canyon, TX 79015",Bananas,Fresh produce,per lb,Produce,0.69,2026-06-12,Starter estimate for 79015; verify against United app/DriveUp & Go price before relying on it.
